Date,Close,vol_20d,10Y_Treasury,Chooser_Price
2018-06-18,108.18,0.2037574232119836,2.92,38.44786818776315
2018-06-19,107.55,0.2011218163437814,2.89,38.99893355476439
2018-06-20,107.54,0.2011030017223686,2.93,38.95322373652367
2018-06-21,107.51,0.1983162926785756,2.9,38.967915331581835
2018-06-22,105.75,0.2048581459173622,2.9,40.686428102823605
2018-06-25,104.79,0.1743920500674235,2.87,41.22607187108624
2018-06-26,104.86,0.1703925489757415,2.88,41.10934078796989
2018-06-27,103.24,0.1544164144657173,2.83,42.660677010719574
2018-06-28,104.93,0.1631781843523247,2.84,41.04285755046657
2018-06-29,104.2,0.1558038585710993,2.85,41.69589766269503
2018-07-02,105.08,0.1599502624322757,2.87,40.832137364614496
2018-07-03,103.61,0.1654522214750359,2.83,42.35606984587081
2018-07-04,103.665,0.1364192544832983,2.835,42.176305746240544
2018-07-05,103.72,0.1345807213986263,2.84,42.11054187491674
2018-07-06,104.06,0.1348779766335966,2.82,41.8027035933931
2018-07-09,107.28,0.1814911510482467,2.86,38.960506967873016
2018-07-10,106.62,0.1816122019714623,2.87,39.56684135768909
2018-07-11,106.39,0.1816179417904663,2.85,39.81121321344608
2018-07-12,106.85,0.1723739984559891,2.85,39.26576330581857
2018-07-13,106.36,0.1729758931487182,2.83,39.76686938932288
2018-07-16,110.58,0.2246116733726633,2.85,37.034491832289625
2018-07-17,110.5,0.2232242688176736,2.86,37.044156517607064
2018-07-18,111.53,0.2248584444412143,2.88,36.23261825541921
2018-07-19,109.89,0.2324301393589584,2.84,37.859071781125806
2018-07-20,111.28,0.226080150014568,2.89,36.46229486160297
2018-07-23,113.35,0.2283789908279676,2.96,34.83023472908532
2018-07-24,114.15,0.2282573043091757,2.95,34.22959365903537
2018-07-25,115.18,0.2163199691563549,2.94,32.98158220657718
2018-07-26,114.85,0.2143544695254469,2.98,33.10963823554377
2018-07-27,116.03,0.2107150632591211,2.96,32.08532218622903
2018-07-30,116.73,0.2104376902171583,2.98,31.52158653361343
2018-07-31,114.95,0.2120147582587916,2.96,32.96702349679611
2018-08-01,115.66,0.2112796519518377,3.0,32.34208515959634
2018-08-02,116.15,0.2105147932790335,2.98,31.96195987807805
2018-08-03,117.09,0.2104563086346632,2.95,31.28961594914716
2018-08-06,117.12,0.1893453207853688,2.94,30.440035542354117
2018-08-07,117.55,0.1852056294767552,2.98,29.89726738819288
2018-08-08,117.79,0.1836601680716641,2.96,29.674316093448756
2018-08-09,116.88,0.1892866343890571,2.93,30.641778532088047
2018-08-10,115.73,0.1935252972386648,2.87,31.791145406800027
2018-08-13,113.89,0.1556172291931981,2.88,32.395146851336264
2018-08-14,114.65,0.156414800384587,2.89,31.700894690495872
2018-08-15,113.7,0.1578024440746413,2.86,32.635790051817466
2018-08-16,114.77,0.1489162531570955,2.87,31.48213110805031
2018-08-17,114.77,0.1438459380657778,2.87,31.40047540009932
2018-08-20,114.62,0.1292236355805009,2.82,31.427109060384215
2018-08-21,115.32,0.1286351665925581,2.85,30.708534176153144
2018-08-22,114.97,0.1251640145449316,2.82,31.050832246921075
2018-08-23,114.73,0.124963289020602,2.82,31.2802511847372
2018-08-24,114.68,0.1188938561555538,2.82,31.2790736076505
2018-08-27,116.71,0.1337587463168741,2.85,29.462469380805928
2018-08-28,116.14,0.1226602504048343,2.88,29.817109280494936
2018-08-29,115.76,0.1214846960117111,2.89,30.156097462015033
2018-08-30,115.19,0.1216702854128676,2.86,30.749992080824395
2018-08-31,114.58,0.118535189672306,2.86,31.31665459967065
2018-09-03,115.0075,0.1196817424039897,2.89,30.86724215151002
2018-09-04,115.15,0.1187620418574275,2.9,30.707479072091296
2018-09-05,114.59,0.1189422126440702,2.9,31.252752589284473
2018-09-06,114.1,0.1171057381587047,2.88,31.746630068383396
2018-09-07,114.32,0.1129365533030947,2.94,31.42079627421591
2018-09-10,113.71,0.0993508429588363,2.94,31.970914943343033
2018-09-11,114.43,0.0990510492673707,2.98,31.19817621859934
2018-09-12,113.08,0.1035909073892927,2.97,32.563096570803204
2018-09-13,113.52,0.09848855869258,2.97,32.11414829123359
